service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
PlayHT,Siobhán,s3://voice-cloning-zero-shot/30884451-1eff-4fd8-9a24-d1ee3353b215/original/manifest.json,English (IE),,female,,irish,,,https://parrot-samples.s3.amazonaws.com/gargamel/Siobhán.wav,,PlayHT
PlayHT,Navya,s3://voice-cloning-zero-shot/e5df2eb3-5153-40fa-9f6e-6e27bbb7a38e/original/manifest.json,English (IN),,female,,indian,,,https://parrot-samples.s3.amazonaws.com/gargamel/Navya.wav,,PlayHT
PlayHT,Sumita,s3://voice-cloning-zero-shot/f3c22a65-87e8-441f-aea5-10a1c201e522/original/manifest.json,English (IN),,female,,indian,,,https://parrot-samples.s3.amazonaws.com/gargamel/Sumita.wav,,PlayHT
PlayHT,Carmen,s3://voice-cloning-zero-shot/fdb74aec-ede9-45f8-ad87-71cb45f01816/original/manifest.json,English (MX),,female,,mexican,,,https://parrot-samples.s3.amazonaws.com/gargamel/Carmen.wav,,PlayHT
PlayHT,Ruby,s3://voice-cloning-zero-shot/d9ff78ba-d016-47f6-b0ef-dd630f59414e/female-cs/manifest.json,English (NZ),,female,adult,australian,,,https://peregrine-samples.s3.amazonaws.com/parrot-samples/ruby.wav,,PlayHT
PlayHT,Aaliyah,s3://voice-cloning-zero-shot/f6c4ed76-1b55-4cd9-8896-31f7535f6cdb/original/manifest.json,English (US),,female,,american,,,https://parrot-samples.s3.amazonaws.com/gargamel/Aaliyah.wav,,PlayHT
PlayHT,Abigail,s3://voice-cloning-zero-shot/80ba8839-a6e6-470c-8f68-7c1e5d3ee2ff/abigailsaad/manifest.json,English (US),,female,,american,,narrative,https://peregrine-results.s3.amazonaws.com/hbGWSpDCmbkVnEGmAl.mp3,,PlayHT
PlayHT,Abigail,s3://mockingbird-prod/abigail_vo_6661b91f-4012-44e3-ad12-589fbdee9948/voices/speaker/manifest.json,English (US),,female,,american,,narrative,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/abigail_vo.wav,,PlayHT
PlayHT,Alphonso,alphonso,English (US),,female,adult,american,,videos,https://peregrine-samples.s3.amazonaws.com/editor-samples/alphonso.wav,,PlayHT
PlayHT,Anny,anny,English (US),,female,youth,american,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/anny.wav,,PlayHT
PlayHT,April,s3://voice-cloning-zero-shot/9a5deeda-3025-49c5-831a-ac98f86f2a37/aprilsaad/manifest.json,English (US),,female,adult,british,,narrative,https://peregrine-results.s3.amazonaws.com/nbrn3tdfuXIxGn8TIl.mp3,,PlayHT
PlayHT,April,spencer,English (US),,female,adult,british,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/spencer.wav,,PlayHT
PlayHT,Ariana,victor,English (US),,female,youth,american,,videos,https://peregrine-samples.s3.amazonaws.com/editor-samples/victor.wav,,PlayHT
PlayHT,Ariana,s3://voice-cloning-zero-shot/f2863f63-5334-4f65-9d30-438feb79c2ec/arianasaad2/manifest.json,English (US),,female,youth,american,,videos,https://peregrine-results.s3.amazonaws.com/KMDCHQcypWHMSSpQUP.mp3,,PlayHT
PlayHT,Arista,s3://voice-cloning-zero-shot/42c41808-0ddb-4674-8965-024a52ad6c8e/original/manifest.json,English (US),,female,youth,american,,,https://peregrine-samples.s3.us-east-1.amazonaws.com/parrot-samples/Arista.mp3,,PlayHT
PlayHT,Audrey,s3://voice-cloning-zero-shot/8ceaa707-4141-46c0-a610-4a2014d7ea97/audreysaad/manifest.json,English (US),,female,adult,american,,narrative,https://parrot-samples.s3.amazonaws.com/kettle/audrey.wav,,PlayHT
PlayHT,Audrey,hipolito,English (US),,female,adult,american,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/hipolito.wav,,PlayHT
PlayHT,Aurora,s3://voice-cloning-zero-shot/5b81dc4c-bf98-469d-96b4-8f09836fb500/aurorasaad/manifest.json,English (US),,female,adult,british,,training,https://peregrine-results.s3.amazonaws.com/CCxudBJ683rCXQviGa.mp3,,PlayHT
PlayHT,Aurora,aurora,English (US),,female,adult,british,,training,https://peregrine-samples.s3.amazonaws.com/editor-samples/Aurora.wav,,PlayHT
PlayHT,Autumn,s3://voice-cloning-zero-shot/ff414883-0e32-4a92-a688-d7875922120d/original/manifest.json,English (US),,female,,american,,,https://parrot-samples.s3.amazonaws.com/gargamel/Autumn.wav,,PlayHT
PlayHT,Ayla (Expressive),s3://mockingbird-prod/ayla_vo_expressive_16095e08-b9e8-429b-947c-47a75e41053b/voices/speaker/manifest.json,English (US),,female,,american,,narrative,,,PlayHT
PlayHT,Ayla (Meditation),s3://mockingbird-prod/ayla_vo_meditation_d11dd9da-b5f1-4709-95a6-e6d5dc77614a/voices/speaker/manifest.json,English (US),,female,,american,,meditation,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/ayla_vo_meditation.wav,,PlayHT
PlayHT,Ayla (Meditation),s3://voice-cloning-zero-shot/f741f871-63ad-4207-8278-907aec4e9e50/aylameditationsaad/manifest.json,English (US),,female,,american,,meditation,https://peregrine-results.s3.amazonaws.com/pigeon/XckNBMI3SLc4MqTMcD_0.mp3,,PlayHT
PlayHT,Ayla (Narrative),s3://voice-cloning-zero-shot/483ed913-2817-45cb-b1a2-b79d9bfb2cf8/aylanarrativesaad/manifest.json,English (US),,female,,american,,narrative,https://parrot-samples.s3.amazonaws.com/kettle/ayla+(narrative).wav,,PlayHT
PlayHT,Ayla (Narrative),s3://mockingbird-prod/ayla_vo_narrative_d8199dfd-b50f-40c7-9d99-e203ba5f4152/voices/speaker/manifest.json,English (US),,female,,american,,narrative,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/ayla_vo_narrative.wav,,PlayHT
PlayHT,Ayla (Training),s3://mockingbird-prod/ayla_vo_training_e6751ca5-e47c-4c4b-ad05-d3a194417600/voices/speaker/manifest.json,English (US),,female,,american,,training,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/ayla_vo_training.wav,,PlayHT
PlayHT,Bret,bret,English (US),,female,adult,american,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/bret.wav,,PlayHT
PlayHT,Celeste,s3://voice-cloning-zero-shot/24507c14-c743-4943-80db-a1e16248309a/original/manifest.json,English (US),,female,adult,american,,narrative,https://peregrine-samples.s3.us-east-1.amazonaws.com/parrot-samples/Celeste_Sample.mp3,,PlayHT
PlayHT,Charlotte,s3://voice-cloning-zero-shot/b2f5441d-354f-4c2f-8f32-390aaaabf42d/charlottesaad/manifest.json,English (US),,female,adult,canadian,,narrative,https://peregrine-results.s3.amazonaws.com/xLCfJmpzFIEwsi3dUx.mp3,,PlayHT
PlayHT,Charlotte,charlotte,English (US),,female,adult,canadian,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/charlotte.wav,,PlayHT
PlayHT,Cheyenne,s3://voice-cloning-zero-shot/ae86f8a3-76bf-4ded-a5fd-bea9d1c8ea1a/original/manifest.json,English (US),,female,adult,american,,,https://peregrine-samples.s3.us-east-1.amazonaws.com/parrot-samples/Cheyenne_Sample.mp3,,PlayHT
PlayHT,Daisy,daisy,English (US),,female,adult,british,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/Daisy.wav,,PlayHT
PlayHT,Delilah,s3://voice-cloning-zero-shot/1afba232-fae0-4b69-9675-7f1aac69349f/delilahsaad/manifest.json,English (US),,female,adult,american,,narrative,https://peregrine-results.s3.amazonaws.com/UlI3kAAfgCOJNP2OMe.mp3,,PlayHT
PlayHT,Delilah,ignacio,English (US),,female,adult,american,,narrative,https://peregrine-samples.s3.amazonaws.com/editor-samples/ignacio.wav,,PlayHT
PlayHT,Donna (Meditation),s3://peregrine-voices/donna_meditation_saad/manifest.json,English (US),,female,,american,,meditation,https://peregrine-samples.s3.amazonaws.com/parrot-samples/donna+meditation.wav,,PlayHT
PlayHT,Donna (Narrative),s3://peregrine-voices/donna_parrot_saad/manifest.json,English (US),,female,,american,,narrative,https://peregrine-samples.s3.amazonaws.com/parrot-samples/donna+narrative.wav,,PlayHT
PlayHT,Eileen,s3://voice-cloning-zero-shot/b709b944-9256-4578-b9d8-a1ce4d729022/eileensaad/manifest.json,English (US),,female,,american,,narrative,https://peregrine-results.s3.amazonaws.com/rtTTJKp1riEZnQQGgy.mp3,,PlayHT
PlayHT,Ellie,ellie,English (US),,female,adult,american,,training,https://peregrine-samples.s3.amazonaws.com/editor-samples/Ellie.wav,,PlayHT
