service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,Jeremy,QxoPNd3JQgChdkV8LbP7,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/MN2PxFIOvlTdyAKcpp6CVPYrxyt1/voices/QxoPNd3JQgChdkV8LbP7/3987e72b-a5e7-4c1d-ac6a-69b92e913964.mp3,,shared
ElevenLabs,Jessica,cgSgspJ2msm6clMCkdW9,en,en,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/cgSgspJ2msm6clMCkdW9/56a97bf8-b69b-448f-846c-c3a11683d45a.mp3,,premade
ElevenLabs,Jessica Anne Bogart - Conversations,g6xIsTj2HwM6VR4iXFCw,en,en,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/yA8yDNUx4dZ4gwL9ztbTpUEIyR12/voices/g6xIsTj2HwM6VR4iXFCw/n1obJIorhgOLlvg9eMnC.mp3,,professional
ElevenLabs,Johan. K,dTptzz4kuHfphLQDldDB,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/eCeuL5R65egqxg08c51cnLV41Or1/voices/dTptzz4kuHfphLQDldDB/61d3ed43-cb71-4602-a966-74a174f6928a.mp3,,shared
ElevenLabs,Joseph Corona ,SIpDYvpsUzCaJ0WmnSA8,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/RtMCwF5rPlSNndLXipSvh34XgTJ2/voices/SIpDYvpsUzCaJ0WmnSA8/P32C6kN0v3uP68tV4UjJ.mp3,,shared
ElevenLabs,Joseph Correa,t0PQLsA3czeVWIL7A0xi,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/workspace/11f3fff0f1ef4f319b58ddfed78493b2/voices/t0PQLsA3czeVWIL7A0xi/190f2682-8fc9-4277-aa64-5f1ba53a0a57.mp3,,shared
ElevenLabs,Jouta-EX,5CPX8VWgUddNjgOKdOXa,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/QwQKIE6jSvTVPDg3fAFBpWH9Nar2/voices/5CPX8VWgUddNjgOKdOXa/f956f0bc-0994-4277-9f1f-4d55c8497ff3.mp3,,shared
ElevenLabs,Juniper,aMSt68OGf4xUZAnLpTU8,en,en,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/aMSt68OGf4xUZAnLpTU8/J1MZWsaESdkAy9Offbd7.mp3,,professional
ElevenLabs,Karol- Calm & Deep,h1UDN2b4imEfXMSKgvlW,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/0r3sE2AWicZBNXZtJcSDuZjZiOS2/voices/h1UDN2b4imEfXMSKgvlW/F8SbAhIFFTpzjGrho3tW.mp3,,shared
ElevenLabs,Kieron Welch,BWGwF36RwZsLxWHtzZ3e,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/lS2EYNzo5Qe64G0aFfyk4pQDxCh1/voices/BWGwF36RwZsLxWHtzZ3e/b357fbdb-ef86-4b7f-9f64-c2f2657dabb0.mp3,,shared
ElevenLabs,Ky Nguyen - Deep Narration,GdbrbFjAI4wKg8XPPRWg,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/Ydocs89aongAhGp9t1TsGq71OsH2/voices/GdbrbFjAI4wKg8XPPRWg/A4MkgeG2nn591szPvcLc.mp3,,shared
ElevenLabs,KyN – Warm Calm Narration,4a9d2yNlrzn6YEoy5ZWT,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/ckESC8EqlCMMWqbRbhQWauD5Qkf2/voices/4a9d2yNlrzn6YEoy5ZWT/yET5FewHLHMNw2ELFuDp.mp3,,shared
ElevenLabs,Larry – Dramatic Midnight Storyteller,5bh6Hc8SO3Yh1skN9Cqm,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/5bh6Hc8SO3Yh1skN9Cqm/rMnDXVsmUdZaHwuTjFPT.mp3,,shared
ElevenLabs,Laura,FGY2WhTYpPnrIDTdsKH5,en,en,female,young,american,social_media,,https://storage.googleapis.com/eleven-public-prod/premade/voices/FGY2WhTYpPnrIDTdsKH5/67341759-ad08-41a5-be6e-de12fe448618.mp3,,premade
ElevenLabs,Leon - Podcasting & Storytelling ,4VhEioWwLzhlRxXpucCZ,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/OlpRNuGrOuVKVQOOHfgqmpFp2GT2/voices/4VhEioWwLzhlRxXpucCZ/ddc44a21-e8a6-471b-b3cf-3334c031906f.mp3,,shared
ElevenLabs,Liam,TX3LPaxmHKxFdv7VOQHJ,en,en,male,young,american,social_media,,https://storage.googleapis.com/eleven-public-prod/premade/voices/TX3LPaxmHKxFdv7VOQHJ/63148076-6363-42db-aea8-31424308b92c.mp3,,premade
ElevenLabs,Lily,pFZP5JQG7iQjIQuC4Bku,,,female,middle_aged,british,narration,,https://storage.googleapis.com/eleven-public-prod/premade/voices/pFZP5JQG7iQjIQuC4Bku/89b68b35-b3dd-4348-a84a-a3c13a3c2b30.mp3,warm,premade
ElevenLabs,Liza American,VuRqxQ9Gp7j9W7jKWr0P,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/V0IEpiQNyEhK13YhEXS29zI5XUs1/voices/hsoiUA4QXKxPDOQ2nTWb/1df7333f-ac44-4e74-8bba-983cde4ac978.mp3,,generated
